product_id	order_id	Order_date	Order_status	Fulfilment	Sales_Channel	ship_service_level	Style	SKU	Category	Size	ASIN	Courier_Status	Qty	currency	Amount	ship_city	ship_state	ship_country	promotion_ids	B2B	fulfilled_by	Unnamed_22	Stock	customer_name	email
129021	407-5233736-1369829	2025-02-04	Cancelled	Merchant	Amazon.com	Two-Day	JNE2228	JNE4989-KR-XXXL	Books	NULL	B089731030	Shipped	6	INR	159.74	Kolkata	Gujarat	India	NULL	1	Amazon	NULL	76	Customer 509	customer283@gmail.com
129022	407-8964246-6206270	2025-02-04	Shipped	Amazon	Amazon.com	Expedited	JNE4227	JNE5290-KR-XXXL	Electronics	NULL	B055897763	In Transit	2	INR	754.05	Delhi	Tamil Nadu	India	NULL	1	Amazon	NULL	87	Customer 277	customer796@gmail.com
129058	407-4063784-8234029	2025-02-04	Cancelled	Amazon	Amazon.in	Two-Day	JNE4027	JNE4027-G-XXXL	Books	NULL	B058784519	In Transit	0	INR	0	Panaji	Goa	India	NULL	1	Merchant	NULL	64	Joseph Lewis	gbyrd@example.org
129059	407-8496997-8833780	2025-02-04	Shipped	Merchant	Amazon.com	Standard	JNE4035	JNE4035-TN-XXXL	Toys	NULL	B097240555	Shipped	2	INR	6559.96	Coimbatore	Tamil Nadu	India	NULL	0	Amazon	NULL	33	Willie Miller	michelle89@example.com
129060	407-1069971-8993699	2025-02-04	Pending	Merchant	Amazon.in	Standard	JNE4166	JNE4166-B-XXXL	Home	NULL	B099793622	In Transit	8	INR	9363.68	Gaya	Bihar	India	NULL	0	Merchant	NULL	26	Nicholas Stanton	michaeldavis@example.net
129061	407-6020089-4117144	2025-02-04	Cancelled	Amazon	Amazon.com	Expedited	JNE5778	JNE5778-UP-XXXL	Electronics	NULL	B054233428	Shipped	0	INR	0	Lucknow	Uttar Pradesh	India	NULL	0	Amazon	NULL	31	Michele Gonzales	phillip72@example.net
129062	407-6938656-4895343	2025-02-04	Pending	Merchant	Amazon.com	Standard	JNE7194	JNE7194-AP-XXXL	Clothing	M	B076029217	In Transit	9	INR	29110.95	Visakhapatnam	Andhra Pradesh	India	NULL	1	Easy Ship	NULL	62	Robert Hancock	xwiley@example.com
129063	407-3532822-9270196	2025-02-04	Cancelled	Merchant	Amazon.in	Standard	JNE7715	JNE7715-AP-XXXL	Electronics	NULL	B034978790	Shipped	0	INR	0	Visakhapatnam	Andhra Pradesh	India	NULL	1	Easy Ship	NULL	59	Jeffrey Henderson	nfoley@example.net
129064	407-3474352-9611340	2025-02-04	Delivered	Amazon	Amazon.com	Standard	JNE4205	JNE4205-WB-XXXL	Electronics	NULL	B079478791	In Transit	9	INR	33456.78	Kolkata	West Bengal	India	NULL	1	Merchant	NULL	46	Sherry Lopez	whill@example.net
129065	407-6589334-3097671	2025-02-04	Cancelled	Amazon	Amazon.in	Expedited	JNE2153	JNE2153-B-XXXL	Clothing	S	B012380952	In Transit	0	INR	0	Gaya	Bihar	India	NULL	0	Amazon	NULL	93	Ryan Reid DVM	ipalmer@example.net
129066	407-9971954-8708219	2025-02-04	Cancelled	Merchant	Amazon.in	Two-Day	JNE5489	JNE5489-TN-XXXL	Electronics	NULL	B032754798	Delivered	0	INR	0	Chennai	Tamil Nadu	India	NULL	1	Easy Ship	NULL	55	Toni Norman	elizabethlopez@example.org
129067	407-3862426-4037363	2025-02-04	Cancelled	Merchant	Amazon.in	Standard	JNE4067	JNE4067-UP-XXXL	Electronics	NULL	B088979817	Shipped	0	INR	0	Lucknow	Uttar Pradesh	India	NULL	0	Amazon	NULL	65	Megan Hill MD	sparksandrea@example.net
129068	407-9822348-8756462	2025-02-04	Delivered	Amazon	Amazon.in	Standard	JNE0963	JNE0963-M-XXXL	Toys	NULL	B054676908	Delivered	3	INR	1970.97	Mumbai	Maharashtra	India	NULL	1	Merchant	NULL	34	Vincent Long	manuel89@example.com
129069	407-3765531-4035977	2025-02-04	Cancelled	Amazon	Amazon.in	Expedited	JNE4660	JNE4660-K-XXXL	Toys	NULL	B020706347	Shipped	0	INR	0	Kochi	Kerala	India	NULL	1	Amazon	NULL	11	Douglas Hernandez	xanderson@example.net
129070	407-6763385-9559870	2025-02-04	Delivered	Amazon	Amazon.com	Expedited	JNE9764	JNE9764-K-XXXL	Books	NULL	B063515995	Shipped	9	INR	12110.94	Kochi	Kerala	India	NULL	0	Merchant	NULL	78	Jason Diaz	zhopkins@example.net
